accession_id	contact_city	contact_country	contact_institute	available_date	last_update_date	overall_design	summary	platform_id	publishing_platform	title	experiment_type
GSE10281	Houston	USA	Baylor College of Medicine	Public on Aug 15 2009	Mar 25 2019	Biopsies were taken from the same subjects both pretreatment and after 10-14 days Letrozol, 2.5 mg/day, oral.	Tumorigenic breast cancer cells characterized by high CD44 and low or undetectable CD24 levels (CD44+/CD24-/low) may be resistant to conventional therapies and responsible for cancer relapse. We defined a “signature” expression pattern of hundreds of genes associated with CD44+/CD24-/low, mammosphere-forming cells. In a panel of patient breast tumors, this tumorigenic gene signature was found exclusively manifested in tumors of the recently identified “claudin-low” molecular profile subtype characterized by overexpression of many mesenchymal-associated genes, suggesting that these tumors have pre-existing higher levels of tumorigenic cells. Furthermore, when comparing the expression profiles of paired breast cancer core biopsies before versus after hormone therapy or chemotherapy, both the tumorigenic and “claudin-low” signatures were more active in about half of tumors after treatment, indicative of a greater enrichment of tumorigenic cells as a result of treatments targeting the bulk tumor cells. + Keywords: two group comparison	GPL570	GEO	Letrozole (Femara) early response to treatment	Expression profiling by array
GSE10780	Tampa	USA	Moffitt Cancer Center	Public on Mar 09 2009	Mar 25 2019	RNA was extracted from microdissected frozen breast tissues for gene array analysis	Analysis of 143 completely histologically-normal breast tissues resulted in the identification of a “malignancy risk” gene signature that may serve as a marker of subsequent risk of breast cancer development. + Keywords: Tissue from breast cancer and adjacent regions	GPL570	GEO	Proliferative genes dominate malignancy-risk gene signature in histologically-normal breast tissue	Expression profiling by array
GSE10797	Burlington	USA	University of Vermont	Public on Apr 03 2008	Dec 06 2018	Breast tissue was collected at surgery from patients undergoing surgical resection for  invasive breast cancer (n=28) and reduction mammoplasty (n=5).  Tissue was cryopreserved in OCT and serial sections were cut using a cryostat.  Sections were stained and epithelial and stromal cells were isolated by laser capture microdissection.  Total RNA was isolated and target was prepared using NuGen Ribo-SPIA Ovation Technology.  Gene expression was measured using Affymetrix U133A 2.0 GeneChips. Gene expression differences were evaluated using a linear model of the Robust Multichip Average gene expression statistic, a model that accounted for cell type (E and S), patient diagnosis (C and N), as well as cell type-diagnosis interactions. Data were examined to determine false discovery rate and were filtered for fold changes in gene expression and p-value.	The molecular basis of breast cancer invasion and metastasis is not well understood.  Our objective was to analyze transcriptome differences between stromal and epithelial cells in normal breast tissue and invasive breast cancer to define the role stroma plays in invasion.  Total RNA was isolated from epithelial and stromal cells that were laser captured from normal breast tissue (n=5) and invasive breast cancer (n=28).  Gene expression was measured using Affymetrix U133A 2.0 GeneChips.  Differential gene expression was evaluated and compared within a model that accounted for cell type (epithelial [E] versus stromal [S]), diagnosis (cancer [C] versus normal [N]) as well as cell type-diagnosis interactions. Compared to NE, the CE transcriptome was highly enriched with genes in proliferative, motility and ECM ontologies.  Differences in CS and NS transcriptomes suggested that the ECM was being remodeled in invasive breast cancer, as genes were over-represented in ECM and proteolysis ontologies.   Genes more highly expressed in CS compared to CE were primarily ECM components or were involved in the remodeling of ECM, suggesting that ECM biosynthesis and remodeling were initiated in the tumor stromal compartment. + Keywords: cell type comparison, disease state analysis	GPL571	GEO	Transcriptomes of breast epithelium and stroma in normal reduction mammoplasty and invasive breast cancer patients.	Expression profiling by array
GSE10810	Granada	Spain	Hospital Universitario San Cecilio	Public on Jun 30 2009	Mar 25 2019	In total, 58 samples were studied, 31 tumors and 27 controls. Some of the samples are paired	Background. The development of reliable gene expression profiling  technology is having an increasing impact on our understanding of breast cancer biology. + Methods. In this study, microarray analysis was performed in order to establish gene signatures for different breast cancer phenotypes, determine differentially expressed gene sequences at different stages of the disease, and identify sequences with biological significance for tumor progression. Samples were taken from patients before their treatment. After microarray analysis, the expression level of 153 selected genes was studied by qPCR. + Results. A number of gene sequences were differentially expressed in tumor versus control samples and were also associated with different breast cancer phenotypes, ER status, tumor histology, and grade of tumor differentiation. In N0 tumors were found a set of genes related to tumor differentiation grade. + Conclusion. A number of differentially expressed gene sequences were found at different stages of the breast cancer disease. +  + Key Words: Breast cancer, gene expression signature, tumor invasiveness, microarrays, qPCR	GPL570	GEO	Gene expression signatures in breast cancer distinguish phenotype charact., histological subtypes, and tumor invasivness	Expression profiling by array
GSE11001	Berlin	Germany	Charite - Universitaetsmedizin Berlin	Public on Aug 01 2008	Mar 25 2019	RNA from 24 breast cancer biopsies extracted with kit A, RNA from 6 breast cancer biopsies extracted with kit B	The routine workflow for invasive cancer diagnostics is based on biopsy processing by formalin fixation and subsequent paraffin embedding. Formalin-fixed paraffin-embedded (FFPE) tissue samples are easy to handle, stable and particularly suitable for morphologic evaluation, immunohistochemistry and in situ hybridization. However, it has become a paradigm that these samples cannot be used for genome-wide expression analysis with microarrays. To oppose this view, we present a pilot microarray study using FFPE core needle biopsies from breast cancers as RNA source.  We found that microarray probes interrogating sequences near the poly-A-tail of the transcribed genes were well suitable to measure RNA levels in FFPE core needle biopsies. For the ER and the HER2 gene, we observed strong correlations between RNA levels measured in these probe sets and protein expression determined by immunohistochemistry (p 0.000003 and p 0.0022). Further, we have identified a signature of 364 genes that correlated with ER protein status and a signature of 528 genes that correlated with HER2 protein status. Many of these genes (ER: 60%) could be confirmed by analysis of an independent publicly available data set. Finally, a hierarchical clustering of the biopsies with respect to three recently reported gene expression grade signatures resulted in widely stable low and high expression grade clusters that correlated with the pathological tumor grade.  These findings support the notion that clinically relevant information can be gained from microarray based gene expression profiling of FFPE cancer biopsies. This opens new opportunities for the integration of gene expression analysis into the workflow of invasive cancer diagnostics as well as translational research in the setting of clinical studies. + Keywords: disease state analysis	GPL570	GEO	Genome-wide expression profiling from formalin-fixed paraffin-embedded breast cancer core biopsies	Expression profiling by array
GSE11121	Leverkusen	Germany	Bayer Technology Services GmbH	Public on Jul 01 2008	Nov 02 2020	Population based N0 untreated breast cancer cohort study including 200 samples	Estrogen receptor (ER) expression and proliferative activity are established prognostic factors in breast cancer. In a search for additional prognostic motives we analyzed the gene expression patterns of 200 tumors of patients who were not treated by systemic therapy after surgery using a discovery approach. After performing hierarchical cluster analysis, we identified co-regulated genes related to the biological process of proliferation, steroid hormone receptor expression, as well as B cell and T cell infiltration. We calculated metagenes as surrogate for all genes contained within a particular cluster and visualized the relative expression in relation to time to metastasis with principal component analysis. Distinct patterns led to the hypothesis of a prognostic role of the immune system in tumors with high expression of proliferation associated genes. In multivariate Cox regression analysis the proliferation metagene showed a significant association with metastasis-free survival of the whole discovery cohort (Hazard Ratio (HR) 2.20, 95% confidence interval (CI) 1.40-3.46). The B cell metagene showed additional independent prognostic information in carcinomas with high proliferative activity (HR 0.66, 95% CI 0.46 - 0.97). A prognostic influence of the B-cell metagene was independently confirmed by multivariate analysis in a first validation cohort enriched for high grade tumors (n=286, HR 0.78, 95% CI 0.62-0.98), and a second validation cohort enriched for younger patients (n=302, HR 0.83, 95% CI 0.7-0.97). Thus, we could demonstrate in three cohorts of untreated node-negative breast cancer patients, that the humoral immune system plays a pivotal role for metastasis-free survival of carcinomas of the breast. + Keywords: disease state analysis	GPL96	GEO	The humoral immune system has a key prognostic impact in node-negative breast cancer	Expression profiling by array
GSE111662	Philadelphia	USA	Fox Chase Cancer Center	Public on Mar 19 2019	Apr 17 2019	For each of nine women included in this substudy, three microarrays were performed in the same batch, using RNA extracted from 1) the epithelial cells of the mammary gland, 2) the stroma and 3) whole tissue. For each subject a linear regression model was fitted across all genes. The gene expression values in the whole tissue were modeled as a linear function of the gene expression in epithelial and stromal tissues.	The breast tissue contains both epithelial and stromal tissues in its composition.  In this substudy we compared the gene expression of the whole core needle biopsy of the breast with the expression observed in its epithelia and stroma. + Laser capture microdissection was performed to compare the gene expression profile in the whole breast biopsy with that in the epithelial and stromal tissues.  In this study we had samples collected from nive premenopausal women, free of any breast abnormality.	GPL570	GEO	Whole breast tissue gene expression in comparison to expression in epithelial and stromal tissues	Expression profiling by array
GSE118432	Amherst	USA	University of Massachusetts	Public on Apr 10 2020	Apr 10 2020	In the present study, patients with atypical hyperplasia (AH) but no history of breast cancer were selected. Laser capture microdissection was used to collect both histologically normal benign epithelium (HNB) as well as AH tissues from each patient. The complete transcriptome was evaluated using microarrays and used to define signatures that distinguish AH lesions from the HNB tissues.	• Atypical hyperplasias (AH) provide insights into early changes that may predispose breast epithelial cells to oncogenic transformation.  • Of genes associated with premalignancy in prior studies, only mRNA levels of ESR1 and SFRP1 were detected in the present study.   • Transcriptional profiling defined signatures distinguishing atypical hyperplasias. The patterns of expression were similar among hyperplastic lesions of lobular and ductal phenotype suggesting a common set of alterations underlying both lesions. Pathway analyses identified elevated expression of estrogen receptor alpha, androgen receptor and EGFR receptors and Rho signaling as central events nodes in the pathways altered in AH.   • A set of 43 genes were identified as common targets using 2 different algorithms to detect signatures associated with AH. Knockdown of SFRP1 in a TERT immortalized breast epithelial cell line resulted in 14 genes from this signature being either up-regulated or down-regulated as observed in the expression profiles from AH.   • The results demonstrate a signature of genes representing alterations that are common to the development of hyperplasias in both ductal and lobular epithelium. Loss of SFRP1 expression is a key player underlying the transcriptional changes in AH that directs a module of genes that can be used to improve reproducibility of diagnosis of AH.	GPL6244	GEO	SFRP1-regulated gene expression in premalignant breast lesions	Expression profiling by array
GSE120129	Laurel	USA	Johns Hopkins APL	Public on Sep 19 2018	Mar 25 2019	108 samples taken from patients at tumor, 5mm, 10mm, 15mm, 20mm from tumor were subjected to microarray analysis using HG-U133 Plus 2 affymetrix arrays	Genome-wide gene expression changes were determined in histopathologically normal breast tissue in 33 women undergoing mastectomy for stage II and III primary invasive ductal carcinoma at serial distances in three dimensions from the tumor. Gene expression was determined by genome-wide mRNA analysis and subjected to metagene mRNA characterization	GPL570	GEO	A genomic ruler to assess oncogenic transition between breast tumor and stroma	Expression profiling by array
GSE12093	San Diego	USA	Veridex, LLC	Public on Oct 07 2008	Aug 10 2018	136 breast cancer samples that were treated with tamoxifen were classified using the 76-gene signature	Classification of tamixifen-treated breast cancer patients into high and low risk groups using the 76-gene signature	GPL96	GEO	The 76-gene Signature Defines High-Risk Patients that Benefit from Adjuvant Tamoxifen Therapy	Expression profiling by array
